,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
필리버스터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,238,179,0,0,0,0,0,0,0,0,0,0,1183,0,0,0,0,0,0
필리핀,0,298,0,0,0,0,0,0,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
하노이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3696,1896,739,295,581,241,0,167,147,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0
하태경,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,142,0,173,0,0,83.5,167,0,0,0,0,0,145,0,149,0,0,0,0,0,0,0,0,176
한국_정부,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,267,111,0,244,122,0,0,0,0,0,160,153,0,0,0,0,0,0,0,0,0,0,0
한국당,1797,1707,2600,2102,2122,3015,3241,3386,4198,4198,1266,1503,2322,2346,3487,3122,4215,3441,5555,4500,4630,3739,2800,3232,4272,7147,7319,7491,4814,2599,1331,1429,0,0,0,0,0,0,0,0,0,0,0,126,0
한국판,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,219,925,392,379,491,422,0,313,0,0,0,0,0
한국판_뉴딜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,184,832,306,274,402,331,0,245,0,0,0,0,0
한미_정상회담,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0
한미동맹,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0,345,250,0,245,122.5,0,0,0,0,0,0,0,0,0,168,355,0,0,0,203,0,266,0
