year,month,day,NSI
2006,10,16,107.83
2006,10,17,115.2
2006,10,18,115.82
2006,10,19,116.21
2006,10,20,116.05
2006,10,21,118.05
2006,10,22,118.5
2006,10,23,118.23
2006,10,24,117.66
2006,10,25,119.96
2006,10,26,122.71
2006,10,27,123.62
2006,10,28,123.67
2006,10,29,123.51
2006,10,30,123.04
2006,10,31,119.99
2006,11,1,119.75
2006,11,2,118.65
2006,11,3,118.55
2006,11,4,117.4
2006,11,5,117.42
2006,11,6,117.14
2006,11,7,117.25
2006,11,8,118.23
2006,11,9,116.87
2006,11,10,116.81
2006,11,11,117.1
2006,11,12,117.12
2006,11,13,119.38
2006,11,14,121.68
2006,11,15,120.63
2006,11,16,121.33
2006,11,17,119.11
2006,11,18,118.69
2006,11,19,118.18
2006,11,20,118.59
2006,11,21,117
2006,11,22,116.53
2006,11,23,118.68
2006,11,24,120.04
2006,11,25,117.92
2006,11,26,118.52
2006,11,27,116.51
2006,11,28,116.75
2006,11,29,117.34
2006,11,30,118.56
2006,12,1,121.26
2006,12,2,124.64
2006,12,3,124.48
2006,12,4,125.87
2006,12,5,127.22
2006,12,6,126.16
2006,12,7,121.12
2006,12,8,118.35
2006,12,9,113.84
2006,12,10,113.17
2006,12,11,111.71
2006,12,12,108.88
2006,12,13,105.58
2006,12,14,107.9
2006,12,15,107.85
2006,12,16,111.13
2006,12,17,111.71
2006,12,18,111.7
2006,12,19,114.49
2006,12,20,119.19
2006,12,21,121.25
2006,12,22,121.69
2006,12,23,120.97
2006,12,24,120.87
2006,12,25,121.25
2006,12,26,120.3
2006,12,27,118.07
2006,12,28,114.47
2006,12,29,116.49
2006,12,30,116.77
2006,12,31,115.7
2007,1,1,114.83
2007,1,2,117.7
2007,1,3,121.79
2007,1,4,122.84
2007,1,5,118.84
2007,1,6,118.37
2007,1,7,118.3
2007,1,8,118.84
2007,1,9,114.31
2007,1,10,111.11
2007,1,11,108.46
2007,1,12,111.07
2007,1,13,114.17
2007,1,14,115.13
2007,1,15,113.51
2007,1,16,115.15
2007,1,17,114.98
2007,1,18,115.73
2007,1,19,114.8
