순번/순위,구분,label,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
889.0,자기계발,0,대학생활의 날개를 달아줄게,8935916927,9788935916924.0,13300.0,신원문화사,장미내.장경근 지음,"13,000","11,700","1,300",10%,650점,20151130.0,128.0
900.0,자기계발,0,생각의 창의성 1,K982533658,9791195473717.0,4500.0,지혜,김효준 외 지음,"25,000","25,000",0,0%,750점,20150501.0,234.0
911.0,자기계발,0,4차원 속독법,8976550293,9788976550293.0,14020.0,비전플러스,김영철 지음,"29,000","26,100","2,900",10%,"1,450점",20130912.0,70.0
924.0,자기계발,0,슈퍼잼 스토리,8966186254,9788966186259.0,3320.0,더퀘스트,"프레이저 도허티 지음, 최기원 옮김","13,000","11,700","1,300",10%,650점,20131015.0,173.0
939.0,자기계발,0,벨 연구소 이야기,8952218604,9788952218605.0,3320.0,살림Biz,"존 거트너 지음, 정향 옮김","25,000","22,500","2,500",10%,"1,250점",20120522.0,661.0
968.0,자기계발,0,공장관리기술사로 가는 비서,8953496454,9788953496453.0,93530.0,한국학술정보,김달원.이광범 지음,"33,000","29,700","3,300",10%,"1,650점",20080625.0,172.0
981.0,자기계발,0,외우지 않는 기억술,K412536375,9791186039717.0,13320.0,라의눈,"가바사와 시온 지음, 박성민 옮김","13,000","11,700","1,300",10%,650점,20170213.0,617.0
983.0,자기계발,0,루저,892541113X,9788925411132.0,3810.0,교육과학사,김태한 지음,"10,000","10,000",0,0%,300점,20170125.0,55.0
984.0,자기계발,0,박상영의 우리는 할 수 있다!,K402536973,9791195992003.0,,퓨즈덤,박상영 지음,"15,000","13,500","1,500",10%,750점,20170105.0,21.0
985.0,자기계발,0,도널드 트럼프와 어떻게 협상할 것인가,8947541699,9788947541695.0,3320.0,한국경제신문,안세영 지음,"13,800","12,420","1,380",10%,690점,20170120.0,55.0
